Time,12.12,label1,13.12,label2
23 - 00,0.095,G,0.088,G
00 - 01,0.095,G,0.085,G
01 - 02,0.095,G,0.077,G
02 - 03,0.094,G,0.077,G
03 - 04,0.095,G,0.095,A
04 - 05,0.15,A,0.093,G
05 - 06,0.184,A,0.15,A
06 - 07,0.2,R,0.15,A
07 - 08,0.2,R,0.15,A
08 - 09,0.2,R,0.15,A
09 - 10,0.184,A,0.148,A
10 - 11,0.184,A,0.15,A
11 - 12,0.155,A,0.15,A
12 - 13,0.15,A,0.149,A
13 - 14,0.171,A,0.149,A
14 - 15,0.195,R,0.146,A
15 - 16,0.181,A,0.151,R
16 - 17,0.172,A,0.148,A
17 - 18,0.155,A,0.15,A
18 - 19,0.152,A,0.13,A
19 - 20,0.147,A,0.113,A
20 - 21,0.128,A,0.101,A
21 - 22,0.111,A,0.104,A
22 - 23,0.098,G,0.091,G
